id,cond,tr_nr,rd,ed,rt
14,baseline,1,200,50,2.87292493638176
14,baseline,2,350,60,2.95347188774825
14,baseline,3,350,100,2.74760621975993
14,baseline,4,500,400,4.90617682527876
14,baseline,5,500,800,2.53491175987161
14,baseline,6,200,100,9.09955136730828
14,baseline,7,350,60,11.854067876193
14,baseline,8,200,80,5.72183171557896
14,baseline,9,500,200,7.77940040327046
14,baseline,10,500,500,10.5852788221893
14,baseline,11,500,600,14.098873288843
14,baseline,12,500,600,14.1459983278217
14,baseline,13,350,200,13.6283098995685
14,baseline,14,500,350,7.12345933009755
14,baseline,15,200,80,6.6898145296343
14,baseline,16,200,100,5.3043559714052
14,baseline,17,500,200,15.3234815517797
14,baseline,18,500,250,18.3904564527173
14,baseline,19,500,250,5.39937113043767
14,baseline,20,350,400,9.33622795797575
14,baseline,21,200,200,3.90056482514824
14,baseline,22,500,150,6.34882038651121
14,baseline,23,500,400,11.945684539444
14,baseline,24,200,100,16.3696983120309
14,baseline,25,500,600,16.2340687402988
14,baseline,26,200,200,10.4108429531215
14,baseline,27,350,200,5.6914818666216
14,baseline,28,500,200,11.3403522481372
14,baseline,29,200,80,10.0624545468644
14,baseline,30,200,200,4.93577461971239
14,baseline,31,500,400,18.3918896739691
14,baseline,32,500,300,15.5870891408901
14,baseline,33,350,200,14.9831015709435
14,baseline,34,200,100,12.8799065298009
14,baseline,35,200,80,18.8761005058533
14,baseline,36,200,200,33.6789095029927
14,baseline,37,200,200,4.78911448448792
14,baseline,38,350,300,13.6483928029173
14,baseline,39,350,500,10.911337626129
14,baseline,40,500,600,5.26535566585248
14,baseline,41,200,200,12.6465066098586
14,baseline,42,500,500,4.86336315472286
14,baseline,43,350,400,5.60351649052351
14,baseline,44,350,350,6.58321911099996
14,baseline,45,200,300,4.02286724875585
14,baseline,46,500,600,5.59335215210194
14,baseline,47,350,450,4.04200287369192
14,baseline,48,500,500,6.37349847781702
14,baseline,49,350,300,6.15097346904949
14,baseline,50,500,300,11.3602244862982
14,baseline,51,200,250,4.78057804794852
14,baseline,52,500,600,6.74376844872796
14,baseline,53,200,200,6.77472549951723
14,baseline,54,350,350,10.8905767365162
14,baseline,55,350,250,4.00219728058855
14,baseline,56,500,250,1.95146524515743
14,baseline,57,200,300,7.68977498650208
14,baseline,58,350,150,3.78060872994719
14,baseline,59,200,300,2.54536401531803
14,baseline,60,500,700,6.59150558264549
14,baseline,61,200,60,3.46907514238305
14,baseline,62,200,50,4.58889007042347
14,baseline,63,200,200,4.93903861148097
14,baseline,64,350,350,6.57106028045652
14,baseline,65,350,200,4.23653710162559
14,baseline,66,350,150,3.90196994796021
14,baseline,67,350,150,4.09622513882004
14,baseline,68,200,100,3.36322480983673
14,baseline,69,500,200,2.46625847298509
14,baseline,70,350,500,3.02372088310321
14,baseline,71,350,400,4.90730470231495
14,baseline,72,200,100,3.87454267238433
14,baseline,73,350,300,7.17766022435763
14,baseline,74,350,200,2.91783815352839
14,baseline,75,350,400,3.11813758634544
