id,condition,tr_nr,rd,ed,rt,control,delta_tap_ems,delta_idle_ems
16,ems_bci,1,500,150,3.59169126647372,muscle,NaN,NaN
16,ems_bci,2,500,200,1.38924546283545,ems,0.5,-3.5
16,ems_bci,3,500,250,1.22204053843068,ems,0.2,-4.4
16,ems_bci,4,200,300,1.25975285793179,ems,0.3,-3.8
16,ems_bci,5,350,200,1.8950223615288,ems,0.4,-4.2
16,ems_bci,6,500,400,1.3225783646741,ems,0.2,-4.8
16,ems_bci,7,350,360,1.67762596139278,ems,0.3,-5.1
16,ems_bci,8,500,350,1.16796102461018,ems,0.2,-4.4
16,ems_bci,9,200,350,1.36447667411026,muscle,NaN,NaN
16,ems_bci,10,500,150,1.20988340974005,muscle,NaN,NaN
16,ems_bci,11,200,250,1.69612270989649,ems,0.4,-4.9
16,ems_bci,12,500,600,1.40281868327136,ems,0.4,-4.2
16,ems_bci,13,200,200,3.33120086580956,ems,0.2,-7.1
16,ems_bci,14,500,350,1.864417165746,ems,0.3,-5.3
16,ems_bci,15,500,320,3.13072252438903,ems,0.3,-6
16,ems_bci,16,350,340,2.88310086405436,ems,0.3,-6.4
16,ems_bci,17,350,280,1.18115735167271,ems,0.3,-4.6
16,ems_bci,18,200,360,3.04422659892455,ems,0.3,-6.8
16,ems_bci,19,200,400,1.269777436173,ems,0.3,-4.6
16,ems_bci,20,350,350,1.51927449793334,ems,0.3,-4.2
16,ems_bci,21,200,350,1.21444906852829,ems,0.3,-3.5
16,ems_bci,22,500,420,3.04888641413626,ems,0.2,-6.8
16,ems_bci,23,200,190,5.11497371015228,ems,0.2,-8.7
16,ems_bci,24,500,320,1.97175333646324,ems,0.3,-5.1
16,ems_bci,25,200,140,1.21042602486679,ems,0.2,-4.5
16,ems_bci,26,500,120,1.45278928819389,ems,0.3,-4
16,ems_bci,27,350,250,1.55423162679266,ems,0.3,-4.8
16,ems_bci,28,500,350,1.5348040118287,ems,0.3,-4.4
16,ems_bci,29,500,430,4.7762050280902,ems,0.3,-8.2
16,ems_bci,30,500,410,1.37942916563283,ems,0.3,-4.5
16,ems_bci,31,350,420,3.22453974107963,muscle,NaN,NaN
16,ems_bci,32,350,250,1.30919670261864,ems,0.4,-4.5
16,ems_bci,33,350,100,1.20268850977963,ems,0.2,-4.1
16,ems_bci,34,200,120,2.10357723085302,muscle,NaN,NaN
16,ems_bci,35,500,210,1.41421951611042,ems,0.2,-3.9
16,ems_bci,36,500,320,1.3832440641151,ems,0.4,-3.9
16,ems_bci,37,500,140,1.2626288503923,ems,0.3,-3.7
16,ems_bci,38,350,170,1.22976550207534,ems,0.3,-4.3
16,ems_bci,39,350,420,4.13191844962799,ems,0.1,-7.8
16,ems_bci,40,500,460,1.57577473171345,ems,0.3,-4.8
16,ems_bci,41,200,480,1.302303624836,ems,0.3,-3.8
16,ems_bci,42,200,210,2.5630501830215,ems,0.3,-5.5
16,ems_bci,43,350,310,2.02185457620241,ems,0.2,-5.3
16,ems_bci,44,200,120,2.27249202161155,ems,0.2,-5.2
16,ems_bci,45,500,250,2.10607745088463,ems,0.2,-5.5
16,ems_bci,46,200,250,1.23370549718336,ems,0.3,-4.7
16,ems_bci,47,350,410,5.43006403032043,ems,0.7,-9.2
16,ems_bci,48,500,240,1.2060756453003,ems,0.2,-4.5
16,ems_bci,49,200,140,2.12678657940248,ems,0.2,-4.8
16,ems_bci,50,350,200,2.18062068881677,ems,0.4,-4.8
16,ems_bci,51,350,260,1.53053686589738,ems,0.3,-4.8
16,ems_bci,52,350,360,1.27173737766605,ems,0.4,-4.3
16,ems_bci,53,500,250,1.5091176639081,ems,0.6,-4.5
16,ems_bci,54,500,400,4.08762985690637,muscle,NaN,NaN
16,ems_bci,55,200,210,1.55466012258022,ems,0.4,-4.5
16,ems_bci,56,200,250,1.8985290776939,ems,0.4,-5.2
16,ems_bci,57,200,150,1.45645000982183,ems,0.2,-4.8
16,ems_bci,58,200,140,2.02209799136494,ems,0.3,-5
16,ems_bci,59,350,100,1.62645694670205,ems,0.2,-4.9
16,ems_bci,60,200,100,1.26194080210934,ems,0.3,-4.1
16,ems_bci,61,350,110,3.25035617116917,muscle,NaN,NaN
16,ems_bci,62,350,140,2.61335740387159,ems,0.2,-5.9
16,ems_bci,63,350,300,4.94624918768799,muscle,NaN,NaN
16,ems_bci,64,350,200,4.5727067396839,muscle,NaN,NaN
16,ems_bci,65,200,210,1.27038496173341,ems,0.4,-4
16,ems_bci,66,500,230,2.01209361323434,ems,0.3,-5.2
16,ems_bci,67,350,250,1.28338927636005,ems,0.3,-4.4
16,ems_bci,68,350,100,1.27830848128012,muscle,NaN,NaN
16,ems_bci,69,200,200,1.38324859662393,ems,0.5,-3.5
16,ems_bci,70,200,400,2.14526235186813,ems,0.5,-5.5
16,ems_bci,71,200,180,2.41493209173095,ems,0.4,-5.7
16,ems_bci,72,350,360,4.1091208758123,ems,0.4,-7.3
16,ems_bci,73,200,250,2.09643401489928,ems,0.3,-4.9
16,ems_bci,74,350,180,3.44387506971836,ems,0.3,-6.5
16,ems_bci,75,500,200,2.01451613888719,ems,0.4,-4.8
